Lake_Series,Lake_Name,Date,pH,Contaminants,Bacteria_Level,Temperature,Turbidity,Dissolved_Oxygen,Nitrogen_Levels,Alkalinity_Level,Calcium_Hardness,Magnesium_Hardness,Sodium,Chloride_Levels,Total_Dissolved_Solids,Cadmium,Iron,Lead,Mercury,Zinc,Nitrate,Nitrite,Nickel
Varthur Lake Series,Doddanakundi Lake,17-04-2022,6.46,33.94,1970.99,15.14,1.45,10.34,7.17,71.04,204.29,68.71,72.4,240.85,550.7,0.0045,0.22,0.016,0.0001,0.014,1.48,0.03,0.1
Varthur Lake Series,Doddanakundi Lake,21-01-2021,6.59,119.41,2551.29,19.71,5.85,6.58,8.21,117.77,98.31,127.82,22.27,55.22,765.1,0.0028,0.21,0.005,0.0001,0.008,1.9,0.01,0.11
Varthur Lake Series,Doddanakundi Lake,21-06-2020,8.73,149.39,395.89,25.84,4.61,13.3,5.58,183.41,108.14,133.93,7.83,237.69,679.38,0.0007,0.16,0.007,0.0002,0.019,2.87,0.08,0.15
Varthur Lake Series,Doddanakundi Lake,12-09-2020,8.75,26.25,2965,13.9,3.75,8.31,3.5,184.14,97.26,76.38,95.24,193.95,129.78,0.0033,0.02,0.007,0.0001,0.046,2.22,0.03,0.13
Varthur Lake Series,Doddanakundi Lake,12-11-2023,8.26,113.52,1329.94,37.48,6.24,3.52,0.29,21.04,109.02,40.86,23.81,173.6,887.66,0.0004,0.16,0.013,0.0002,0.028,1.34,0.09,0.14
Varthur Lake Series,Doddanakundi Lake,12-06-2020,8.48,135.59,2382.73,20.25,1.76,13.83,0.75,94.24,71.78,126.8,21.3,74.93,568.28,0.0043,0.11,0.013,0.0002,0.012,1.05,0.07,0.13
Varthur Lake Series,Doddanakundi Lake,19-11-2022,7.79,72.49,2435.31,18.77,6.17,5.19,1.05,137.02,252.56,40.5,15.73,178.22,921.05,0.0035,0.15,0.019,0.0002,0.045,2.62,0.04,0.14
Varthur Lake Series,Doddanakundi Lake,04-01-2021,6.6,74.87,2752.37,10.09,4.59,6.93,1.22,24.98,55.04,47.22,49.53,70.63,799.33,0.0008,0.26,0.01,0.0001,0.041,2.37,0.01,0.1
Varthur Lake Series,Doddanakundi Lake,18-02-2020,6.84,132.29,713.18,32.21,1.24,6.32,7.08,129.48,259.99,115.63,86.07,168.43,835.61,0.0008,0.08,0.009,0.0001,0.039,1.47,0.07,0.12
Varthur Lake Series,Doddanakundi Lake,31-05-2024,7.5,51.61,2121.22,26.65,0.93,14.97,6.49,50.07,46.74,26.45,54.95,182.73,995.59,0.0006,0.29,0.007,0.0001,0.003,0.34,0.05,0.11
Varthur Lake Series,Doddanakundi Lake,15-12-2023,8.14,76.27,556.52,34.36,1.08,4.98,3.38,144.29,108.92,3.3,27.47,104.36,796.08,0.0022,0.24,0.002,0.0002,0.035,0.43,0.1,0.12
Varthur Lake Series,Doddanakundi Lake,23-12-2020,8.66,99.88,2599.49,32.43,5.93,6.1,1.86,68.53,161.2,55.09,34.84,73.99,224.64,0.0012,0.21,0.011,0.0001,0.012,0.21,0.04,0.13
Varthur Lake Series,Doddanakundi Lake,12-05-2020,7.28,13.07,204.91,32.57,3.87,12.25,2.77,117.07,293.81,42.55,78.98,138.13,210.01,0.0029,0.07,0.006,0.0002,0.025,0.63,0.02,0.1
Varthur Lake Series,Doddanakundi Lake,27-06-2020,7.73,130.6,2785.24,23.31,2.63,8.68,0.61,64.41,55.9,114.85,3.72,176.97,414.04,0.0022,0.02,0.015,0.0001,0.021,0.76,0.1,0.12
Varthur Lake Series,Doddanakundi Lake,21-04-2024,8.14,22.77,2732.7,14.16,4.86,5.1,2.58,176.98,112.83,128.81,7.56,187.6,388.72,0.0003,0.05,0.004,0.0002,0.048,0.69,0.03,0.15
Varthur Lake Series,Doddanakundi Lake,10-03-2021,7.03,147.78,1606.31,35.35,3.19,9.23,8.76,156.84,261.04,81.18,81.86,143.96,539.41,0.0034,0.09,0.01,0.0001,0.02,2.49,0.04,0.13
Varthur Lake Series,Doddanakundi Lake,14-05-2021,6.43,78.29,2378.69,24.65,2.12,4.23,1.23,57.71,283.29,28.05,30.57,182.06,116.57,0.003,0.04,0.005,0.0001,0.049,1.75,0.07,0.15
Varthur Lake Series,Doddanakundi Lake,07-03-2024,7.05,147.71,116.1,33.59,5.48,4.77,9.27,109.12,15.68,49.94,50.44,122.87,167.73,0.0021,0.21,0.017,0.0002,0.029,0.8,0,0.12
Varthur Lake Series,Doddanakundi Lake,08-04-2021,7.23,73.61,1427.08,28.25,4.18,10.05,3.46,186.02,121.44,97.67,53.41,123.65,815.18,0.004,0.25,0.01,0.0001,0.017,2.8,0.01,0.15
Varthur Lake Series,Doddanakundi Lake,04-12-2021,8.29,43.28,277.6,24.61,4.56,13.65,4.16,118.4,209.83,142.29,39.47,227.5,218.54,0.0047,0.04,0.007,0.0001,0.011,1.21,0.06,0.14
Varthur Lake Series,Doddanakundi Lake,28-02-2022,6.37,46.55,991.06,34.88,5.73,8.53,5.16,165.5,154.02,33.36,84.05,145.39,421.64,0.0043,0.2,0.001,0.0001,0.022,0.6,0.06,0.12
Varthur Lake Series,Doddanakundi Lake,17-10-2023,8.38,117.33,2927.23,37.44,0.99,3.53,7.11,134.3,128.5,24.54,46.98,116.36,58.51,0.003,0.04,0.008,0.0001,0.025,2.18,0.05,0.15
Varthur Lake Series,Doddanakundi Lake,08-02-2024,8.22,45.92,1599.47,16.42,2.92,12.96,4.82,193.16,259.2,68.2,87.98,161.53,991.55,0.0031,0.3,0.014,0.0002,0.023,2.72,0.02,0.14
Varthur Lake Series,Doddanakundi Lake,16-05-2021,7.73,23.31,1912.84,11.06,4.3,6.75,3.15,29.3,184.85,32.25,38.19,158.68,107.71,0.0045,0.01,0.017,0.0001,0.024,1.61,0.1,0.14
Varthur Lake Series,Doddanakundi Lake,30-04-2022,6.94,105.5,630.12,38.72,1.87,5.91,3,149.3,82.7,128.38,55.66,247.46,990.03,0.0012,0.21,0.019,0.0001,0.019,0.18,0.08,0.11
Varthur Lake Series,Doddanakundi Lake,07-03-2020,8.93,112.4,619.17,29,5.77,8.09,4.76,183.98,248.28,58.94,64.4,43.28,975.7,0.0045,0.05,0.018,0.0001,0.004,2.86,0.03,0.12
Varthur Lake Series,Doddanakundi Lake,25-09-2022,8.42,26.59,2260.39,15.13,5.73,3.95,2.04,26.31,18.47,25.17,68.79,116.18,503.74,0.0005,0.1,0.013,0.0001,0.006,2.53,0.01,0.1
Varthur Lake Series,Doddanakundi Lake,24-06-2021,8.97,22.03,1199.85,27.57,5.23,5.87,7.33,153.15,65.92,30.4,17.69,179.85,793.26,0.0016,0.19,0.019,0.0002,0.009,0.88,0.07,0.14
Varthur Lake Series,Doddanakundi Lake,17-04-2021,7.87,45.78,1727.14,15.77,3.07,11.52,2.83,57.84,63.86,10.89,95.51,84.82,918.87,0.0004,0.03,0.004,0.0002,0.042,0.47,0,0.13
Varthur Lake Series,Doddanakundi Lake,23-12-2023,6.2,64.4,1584.03,18.92,5.46,9.91,1.88,196.95,11.14,32.1,44.33,131.34,296.42,0.004,0.19,0.011,0.0002,0.013,0.11,0,0.12
Varthur Lake Series,Doddanakundi Lake,19-03-2022,8.13,132.31,2472.32,13.19,4.27,6.43,1.46,173.6,126.69,22.56,88.75,67.13,728.21,0.0022,0.24,0.006,0.0002,0.043,0.1,0.04,0.12
Varthur Lake Series,Doddanakundi Lake,13-11-2023,8.53,0.64,1254.63,35.48,1.27,6.89,4.47,152.49,290.99,90.25,23.54,65.36,874.65,0.0015,0.15,0.011,0.0002,0.039,0.1,0.01,0.11
Varthur Lake Series,Doddanakundi Lake,12-10-2023,6.98,21.57,2007.09,30.33,2.58,3.47,0.32,189.78,291.82,49.91,95.8,121.73,200.68,0.0029,0.27,0.018,0.0002,0.007,2.37,0.01,0.14
Varthur Lake Series,Doddanakundi Lake,26-03-2020,7.6,126.1,2535.84,23.63,6.18,5.09,7.31,186.95,58.44,110.61,96.33,116.51,625.9,0.0042,0.12,0.015,0.0001,0.015,1.17,0.05,0.11
Varthur Lake Series,Doddanakundi Lake,04-10-2020,6.17,18.43,2169.35,20.71,2.17,4.22,9.5,80.6,40.95,95.29,99.59,139,210.76,0.0017,0.25,0.001,0.0002,0.018,1.45,0.03,0.11
Varthur Lake Series,Doddanakundi Lake,24-01-2021,8.28,60.38,707,28.18,6.43,5.34,3.44,144.84,203.56,136.79,17.92,182.72,23.3,0.0031,0.03,0.004,0.0001,0.017,2.48,0.03,0.1
Varthur Lake Series,Doddanakundi Lake,22-02-2023,6.64,18.46,1585.6,23.45,5.79,5.54,8.5,86.35,230.71,59.39,88.44,225.97,967.55,0.0032,0.25,0.01,0.0001,0.045,0.65,0.04,0.13
Varthur Lake Series,Doddanakundi Lake,16-07-2023,7.52,67.05,320.6,24.54,6.34,7.47,8.05,43.99,204.2,50.51,23.12,216.49,342.71,0.0003,0.29,0.011,0.0001,0.021,2.98,0.07,0.12
Varthur Lake Series,Doddanakundi Lake,15-07-2022,6.31,67.26,2732.05,31.43,2.65,4.95,1.44,107.73,42.69,144.89,88.52,76.99,561.44,0.0026,0.11,0.007,0.0001,0.046,1.52,0.09,0.14
Varthur Lake Series,Doddanakundi Lake,21-08-2022,8.23,45.37,2796.56,12.54,1.42,7.67,3.37,149.45,239.73,126.58,19.89,193.87,703.06,0.0024,0.03,0.015,0.0001,0.004,2.08,0.01,0.15
Varthur Lake Series,Doddanakundi Lake,24-06-2022,7.05,11.22,2627.67,20.36,3,5.84,4.25,74.97,215.93,19.03,23.44,17.71,6.5,0.0048,0.18,0.014,0.0002,0.013,0.42,0,0.13
Varthur Lake Series,Doddanakundi Lake,10-11-2023,7.99,141.48,1676.88,16.04,0.58,3.73,8.99,135.22,91.46,64.33,24.17,118.86,48.65,0.004,0.28,0.01,0.0001,0.003,0.59,0.07,0.14
Varthur Lake Series,Doddanakundi Lake,28-08-2023,6.27,51.95,2406.87,32.31,2.35,13.79,6.38,153.98,270.7,107.8,55.89,87.49,13.94,0.0033,0.14,0.012,0.0002,0.02,0.65,0.1,0.15
Varthur Lake Series,Doddanakundi Lake,16-03-2021,6.59,146.81,1338.87,30.58,2.57,7.12,2.75,165.29,150.23,128.44,90.24,164.84,643.09,0.0003,0.06,0.01,0.0002,0.024,2.85,0.07,0.13
Varthur Lake Series,Doddanakundi Lake,01-06-2022,7.09,33.22,2235.14,18.53,4.73,9.05,8.39,94.15,156.17,7.75,19.09,30.58,385.74,0.0046,0.05,0.02,0.0002,0.012,1.94,0.04,0.15
Varthur Lake Series,Doddanakundi Lake,16-05-2022,6.76,101.04,1192.53,29.77,2.67,4.79,9.75,134.9,295.53,86.08,45.12,85.62,113.78,0.0041,0.05,0.012,0.0002,0.014,2.37,0.1,0.11
Varthur Lake Series,Doddanakundi Lake,25-12-2022,6.77,52.35,2458.33,14.64,1.45,6.57,4.22,76.86,103.01,142.02,21.31,218.92,619.72,0.0003,0.25,0.015,0.0002,0.047,0.71,0.06,0.15
Varthur Lake Series,Doddanakundi Lake,27-05-2024,8.42,63.09,1323.16,20.12,0.77,5.26,6.32,64.86,120.83,78.89,50.25,187.93,301.15,0.0026,0.3,0.001,0.0002,0.033,1.6,0.02,0.13
Varthur Lake Series,Doddanakundi Lake,20-10-2022,6.25,25.43,938.54,28.98,4.64,4.31,1.47,83.74,118.53,91.29,4.13,161.97,134.01,0.0015,0.19,0.012,0.0001,0.044,0.15,0.06,0.13
Varthur Lake Series,Doddanakundi Lake,14-11-2021,8.56,83.11,2491.89,14.91,2.49,13.63,9.7,116.03,222.5,116.85,44.06,184.15,700.18,0.0029,0.28,0.008,0.0002,0.01,1.05,0.02,0.12
Varthur Lake Series,Doddanakundi Lake,15-06-2023,8.99,86.29,2018.1,34.15,4.43,10.34,0.59,46.7,225.92,70.56,14.49,79.52,823.69,0.0007,0.25,0.019,0.0002,0.019,2.98,0.06,0.12
Varthur Lake Series,Doddanakundi Lake,02-01-2024,8.78,66.58,2974.07,28.01,6.51,8.38,5.66,159.79,144.41,34.97,94.17,63.18,806.89,0.0021,0.14,0.001,0.0002,0.025,2.26,0.08,0.13
Varthur Lake Series,Doddanakundi Lake,02-12-2020,7.48,110.47,2313.53,33.32,4.99,4.94,4.61,21.76,26.16,103.72,12.88,188.04,698.61,0.0046,0.14,0.005,0.0002,0.032,1.13,0.02,0.1
Varthur Lake Series,Doddanakundi Lake,19-01-2022,7.43,109.37,523.56,26.46,0.08,10.45,7.54,141.18,264.73,100.89,20.31,18.7,566.13,0.001,0.02,0.019,0.0002,0.041,1.51,0.03,0.14
Varthur Lake Series,Doddanakundi Lake,26-08-2021,7.48,101.27,1010.3,20.23,0.48,7.44,4.45,55.74,156.4,64.43,25.19,157.85,897.18,0.0025,0.26,0.019,0.0001,0.016,0.89,0.06,0.1
Varthur Lake Series,Doddanakundi Lake,05-07-2020,7.29,28.93,336.45,19.15,3.76,7.94,3.84,199.65,173.32,34.55,36.78,46.66,216.51,0.0017,0.23,0.014,0.0002,0.029,2.82,0.02,0.12
Varthur Lake Series,Doddanakundi Lake,26-05-2023,7.34,96.3,2602.08,38.52,3.71,6.62,6.63,168.42,139.09,14.22,99.74,165.92,237.29,0.0023,0.04,0.013,0.0002,0.014,2.24,0.02,0.14
Varthur Lake Series,Doddanakundi Lake,08-10-2023,6.93,37.92,554.08,17.54,1.26,11.4,3.81,131.92,217.34,12.32,42.65,28.84,196.91,0.0038,0,0.014,0.0001,0.015,2.05,0.01,0.11
Varthur Lake Series,Doddanakundi Lake,02-06-2022,8.54,101.68,690.73,18.93,6.43,10.73,7.54,28.22,128.96,115.97,37.06,147.82,968.53,0.0041,0,0.017,0.0001,0.004,1.57,0.01,0.15
Varthur Lake Series,Doddanakundi Lake,31-05-2024,7.53,93.66,2863.85,39.36,1.74,3.85,5.06,98.65,100.07,66.79,36.5,3.18,101.84,0.0039,0.26,0.011,0.0002,0.037,1.91,0.03,0.13
Varthur Lake Series,Doddanakundi Lake,12-09-2020,6.41,78.41,1183.4,27.88,2.09,6.81,7.84,24.98,0.77,35.7,29.07,191.44,685.3,0.004,0.09,0.002,0.0001,0.04,1.3,0.02,0.11
Varthur Lake Series,Doddanakundi Lake,14-04-2022,7.87,118.36,1875.5,23.82,6.39,8.05,3.95,161.01,86.98,93.57,50.93,210.74,185.78,0.0031,0.11,0.017,0.0001,0.038,1.55,0.08,0.12
Varthur Lake Series,Doddanakundi Lake,25-07-2021,8.56,30.72,1523.09,16.52,0.75,11.05,7.12,35.5,5.27,17.91,52.01,50.66,757,0.0009,0.19,0.003,0.0002,0.017,2.37,0,0.11
Varthur Lake Series,Doddanakundi Lake,04-09-2023,8.43,42.62,933.74,21.6,6.83,14.62,4.63,144.37,93.12,42.67,87.73,129.15,463.37,0.0045,0.07,0.017,0.0001,0.025,2.75,0.04,0.1
Varthur Lake Series,Doddanakundi Lake,25-06-2022,8.6,125.22,366.07,19.24,5.31,8.97,6.64,59.46,63.48,48.14,32.4,133.07,445.63,0.0045,0.29,0.004,0.0002,0.026,2.73,0.05,0.11
Varthur Lake Series,Doddanakundi Lake,08-04-2023,7.64,20.9,1331.17,38.31,1.15,10.39,5.29,34.56,201.36,41.23,52.02,220.69,917.01,0.0011,0.27,0.006,0.0002,0.01,0.57,0.07,0.13
Varthur Lake Series,Doddanakundi Lake,17-08-2021,6.92,56.57,2783.81,30.36,5.76,8.47,6.25,51.02,281.49,53.09,22.99,165.11,334.21,0.0015,0.2,0.003,0.0002,0.036,0.81,0.03,0.11
Varthur Lake Series,Doddanakundi Lake,05-02-2024,6.59,124.08,1212.76,26.24,3.84,14.48,1.15,72.68,96.18,25.85,6.69,217.1,750.68,0.0046,0.11,0.005,0.0002,0.04,1.19,0.03,0.15
Varthur Lake Series,Doddanakundi Lake,02-06-2021,8.3,115.73,2188.39,36.13,5.38,13.42,3.77,165.02,290.99,119.59,61.94,104.15,37.84,0.0031,0.1,0.015,0.0002,0.022,2.41,0,0.13
Varthur Lake Series,Doddanakundi Lake,21-01-2021,8.33,102.02,2248.6,13.79,4.26,6.56,3.09,84.79,206.06,92.25,51.47,41.96,14.06,0.0007,0.1,0.013,0.0002,0.029,2.97,0.07,0.12
Varthur Lake Series,Doddanakundi Lake,02-01-2024,8.53,140.67,1331.91,24.74,3.74,8.55,4.79,104.23,284.23,13.75,1.39,12.15,76.54,0.0048,0.09,0.009,0.0001,0.04,1.43,0.03,0.11
Varthur Lake Series,Doddanakundi Lake,05-11-2021,8.09,104.04,1393.93,19.43,0.42,13.21,2.66,105.08,107.51,47.3,73.66,142.66,339.84,0.0019,0.2,0.016,0.0001,0.028,1.11,0.04,0.1
Varthur Lake Series,Doddanakundi Lake,17-10-2022,8.5,129.43,1424.01,21.86,1.91,5.32,0.24,180.02,155.21,46.33,7.13,27.36,652.05,0.0047,0.07,0.015,0.0001,0.015,0.55,0.01,0.12
Varthur Lake Series,Doddanakundi Lake,24-02-2020,8.54,2.39,2211.1,23.17,2.09,8.2,6.6,171.33,183.65,145.53,46.32,38.74,361.54,0.0032,0.02,0.015,0.0002,0.044,1.97,0.05,0.15
Varthur Lake Series,Doddanakundi Lake,23-03-2022,6.7,98.77,2793.6,22.84,1.33,8.39,0.74,35.2,200.16,83.85,90.93,61.55,428.87,0.0032,0.09,0.012,0.0002,0.037,2.57,0.07,0.13
Varthur Lake Series,Doddanakundi Lake,25-03-2020,7.9,51.95,154.1,29.44,6.65,4.99,9.27,55.88,26.65,130.32,65.96,165.78,116.82,0.0007,0.28,0.016,0.0001,0.029,1.58,0.01,0.13
Varthur Lake Series,Doddanakundi Lake,02-01-2022,7.17,11.3,2989,36.06,5.34,7.12,1.65,149.04,20.43,38.92,14.47,202.84,182.23,0.0034,0.17,0.005,0.0002,0.036,0.15,0.09,0.1
Varthur Lake Series,Doddanakundi Lake,01-01-2021,6.1,100.06,991.3,33.45,1.2,13.99,7.5,169.2,75.64,13.55,29.81,229.3,390.32,0.0014,0.23,0.014,0.0001,0.038,1.98,0,0.12
Varthur Lake Series,Doddanakundi Lake,25-01-2022,6.11,114.68,973.12,39.38,5.45,7.09,5.12,29.06,231.33,48.1,13.38,233.25,161.62,0.001,0.09,0.007,0.0002,0.05,1.85,0.08,0.12
Varthur Lake Series,Doddanakundi Lake,20-06-2023,6.91,39.08,674.76,35.86,4.81,12.39,8.18,76.51,15.73,145.94,2.79,67.84,589.5,0.0036,0.14,0.002,0.0002,0.031,1.11,0.1,0.1
Varthur Lake Series,Doddanakundi Lake,06-09-2022,8.7,120.91,2836.76,23.6,1.54,3.09,4.39,37.32,0.66,143.76,76.8,217.36,569.73,0.0014,0.17,0.017,0.0002,0.037,2.71,0.06,0.13
Varthur Lake Series,Doddanakundi Lake,18-01-2024,7.9,63.1,1128.89,39.6,0.67,3.71,3.09,106.92,203.07,96.12,24.32,224.89,309.86,0.0031,0.11,0.017,0.0001,0.029,2.56,0.08,0.11
Varthur Lake Series,Doddanakundi Lake,07-05-2021,8.31,44.39,1753.85,36.19,0.35,9.49,6.06,77.94,263.09,97.09,78.41,138.03,176.24,0.0013,0.24,0.011,0.0001,0.045,1.89,0.09,0.13
Varthur Lake Series,Doddanakundi Lake,23-08-2020,7.04,97.61,1792.98,32.96,2.1,13.73,3.66,64.04,116.91,19.2,27.5,219.03,939.64,0.0018,0.14,0.016,0.0002,0.019,1.18,0.1,0.12
Varthur Lake Series,Doddanakundi Lake,13-05-2023,6.27,123.32,218.46,26.34,3.57,5.26,6.16,58.53,126.73,10.02,90.86,63.81,32.89,0.0041,0.06,0.005,0.0002,0.027,2.68,0.04,0.11
Varthur Lake Series,Doddanakundi Lake,06-03-2022,8.59,15.36,774.56,28.45,3.87,3.69,3.52,170.5,204.96,103.64,26.21,241.63,296.46,0.0028,0.11,0.01,0.0001,0.008,2.42,0.06,0.15
Varthur Lake Series,Doddanakundi Lake,03-01-2022,8.75,9.31,589.17,15.09,3.58,7.86,1.81,50.15,229.61,63.99,48.86,147.55,13.22,0.0031,0.26,0.017,0.0002,0.026,0.98,0.1,0.14
Varthur Lake Series,Doddanakundi Lake,10-01-2021,7.94,145.55,957.4,11.92,5.05,6.35,6.49,178.66,108.71,118.72,54.22,221.82,336.45,0.004,0.07,0.015,0.0001,0.006,1.14,0.1,0.14
Varthur Lake Series,Doddanakundi Lake,05-03-2023,8.03,84.55,1430.24,24.14,4.92,7.74,6.4,89.67,105.37,115.79,90.7,118.08,47.38,0.0026,0.04,0.008,0.0002,0.04,0.3,0.03,0.14
Varthur Lake Series,Doddanakundi Lake,22-07-2021,6.16,16.07,804.13,30.93,5.56,12.27,4.74,57.79,123.35,122.74,79.08,90.55,599.65,0.0038,0.04,0.005,0.0002,0.012,0.33,0.09,0.14
Varthur Lake Series,Doddanakundi Lake,20-05-2023,8.88,29.64,658.06,12.3,2.54,11.36,4.5,112.76,104.63,16,75.76,175.19,381.91,0.0023,0.02,0.013,0.0001,0.03,2.33,0.05,0.12
Varthur Lake Series,Vibhuthipura Lake,25-03-2023,6.64,41.85,2802.58,26.83,3.57,3.92,6.86,96.6,45.28,56.63,15.19,28.56,591.43,0.0047,0.03,0.009,0.0002,0.002,0.25,0.05,0.12
Varthur Lake Series,Vibhuthipura Lake,20-01-2024,8.11,86.4,2586.66,25.83,6.71,12.1,9.94,20.23,23.11,99.54,43.7,41.23,133.06,0.001,0.27,0.012,0.0002,0.044,1.09,0.03,0.14
Varthur Lake Series,Vibhuthipura Lake,19-01-2021,7.98,64.28,712.76,17.71,3.09,14.26,5.48,172.47,128.11,89.17,69.61,156.39,164.31,0.0008,0.11,0.012,0.0001,0.046,2.07,0,0.12
Varthur Lake Series,Vibhuthipura Lake,24-04-2024,6.41,132.9,1691.17,11.98,0.06,12.76,6.71,172.41,198.94,127.26,9.96,203.99,107.72,0.0013,0.04,0.013,0.0001,0.028,0.12,0.08,0.12
Varthur Lake Series,Vibhuthipura Lake,17-07-2023,7.65,104.23,1906.68,19.55,5.73,7.35,8.25,80.19,139.76,102.31,18.24,196.74,380.6,0.0003,0.08,0.003,0.0002,0.021,0.75,0.07,0.11
Varthur Lake Series,Vibhuthipura Lake,11-09-2023,8.77,67.16,2830.4,38.45,6.28,5.33,1.96,192.3,291.58,135.43,28.25,32.47,567.43,0.0045,0.2,0.013,0.0001,0.047,2.1,0.02,0.14
Varthur Lake Series,Vibhuthipura Lake,16-06-2023,8.71,27.25,650.09,29.03,0.85,8.5,9.08,170.95,257.77,13.27,86.48,152.36,346.33,0.0007,0.01,0.02,0.0001,0.022,0.52,0.08,0.11
Varthur Lake Series,Vibhuthipura Lake,28-07-2023,6.8,101.28,2419.26,30.18,6.84,8.75,8.55,136.13,2.48,80.22,87.43,81.94,275.21,0.0029,0.26,0.012,0.0002,0.024,0.74,0.09,0.13
Varthur Lake Series,Vibhuthipura Lake,08-12-2022,7.76,20.49,627.8,15.85,1.5,4.39,0.43,133.53,64.2,33.16,0.71,61.09,475.59,0.0022,0.28,0.017,0.0002,0.005,0.11,0.06,0.11
Varthur Lake Series,Vibhuthipura Lake,13-05-2024,6.03,53.26,609.9,28.6,5.9,7.66,8.03,97.68,162.84,131.25,69.92,240.11,698.47,0.0002,0.1,0.014,0.0002,0.003,1.39,0.09,0.14
